tree_dbh,health,spc_common,sidewalk
3,Fair,red maple,NoDamage
21,Fair,pin oak,Damage
3,Good,honeylocust,Damage
10,Good,honeylocust,Damage
21,Good,American linden,Damage
11,Good,honeylocust,NoDamage
11,Good,honeylocust,NoDamage
9,Good,American linden,NoDamage
6,Good,honeylocust,NoDamage
21,Fair,London planetree,NoDamage
11,Good,London planetree,NoDamage
8,Poor,London planetree,NoDamage
13,Fair,London planetree,NoDamage
22,Good,London planetree,NoDamage
30,Fair,London planetree,Damage
12,Good,honeylocust,NoDamage
2,Fair,ginkgo,Damage
14,Good,honeylocust,Damage
14,Fair,honeylocust,NoDamage
10,Good,ginkgo,NoDamage
11,Good,honeylocust,NoDamage
14,Good,honeylocust,Damage
4,Fair,willow oak,NoDamage
9,Good,sycamore maple,NoDamage
2,Good,willow oak,NoDamage
5,Good,Amur maple,NoDamage
33,Good,London planetree,NoDamage
19,Good,London planetree,NoDamage
9,Good,honeylocust,NoDamage
9,Good,honeylocust,Damage
7,Good,honeylocust,NoDamage
3,Good,honeylocust,NoDamage
7,Good,honeylocust,NoDamage
5,Good,honeylocust,NoDamage
4,Good,honeylocust,NoDamage
12,Good,honeylocust,NoDamage
13,Good,honeylocust,NoDamage
12,Fair,London planetree,Damage
3,Good,red maple,NoDamage
24,Good,London planetree,Damage
20,Good,London planetree,NoDamage
13,Good,willow oak,NoDamage
12,Fair,London planetree,NoDamage
36,Good,London planetree,Damage
29,Good,London planetree,Damage
6,Good,willow oak,NoDamage
9,Good,London planetree,NoDamage
18,Good,London planetree,NoDamage
13,Fair,London planetree,NoDamage
13,Good,willow oak,NoDamage
9,Good,willow oak,NoDamage
19,Good,London planetree,NoDamage
17,Fair,London planetree,Damage
32,Fair,London planetree,NoDamage
28,Good,London planetree,NoDamage
7,Good,pin oak,Damage
10,Fair,pin oak,NoDamage
5,Good,pin oak,NoDamage
8,Good,pin oak,NoDamage
10,Good,red maple,NoDamage
6,Good,red maple,Damage
8,Fair,pin oak,Damage
5,Good,pin oak,NoDamage
5,Good,hedge maple,NoDamage
26,Good,pin oak,NoDamage
10,Good,pin oak,NoDamage
18,Good,pin oak,NoDamage
11,Fair,London planetree,NoDamage
25,Good,London planetree,Damage
15,Fair,London planetree,NoDamage
13,Good,London planetree,NoDamage
5,Poor,American elm,NoDamage
26,Good,sycamore maple,Damage
36,Good,London planetree,NoDamage
16,Good,London planetree,Damage
13,Fair,London planetree,Damage
2,Good,American elm,NoDamage
2,Good,American elm,NoDamage
4,Good,London planetree,NoDamage
22,Good,London planetree,NoDamage
28,Good,London planetree,Damage
42,Good,London planetree,NoDamage
12,Good,London planetree,NoDamage
3,Poor,London planetree,NoDamage
3,Good,Amur maple,NoDamage
26,Good,London planetree,Damage
3,Poor,London planetree,NoDamage
26,Good,London planetree,Damage
18,Good,London planetree,NoDamage
24,Good,London planetree,Damage
32,Good,London planetree,Damage
13,Good,London planetree,Damage
11,Good,London planetree,NoDamage
22,Good,London planetree,NoDamage
38,Good,London planetree,NoDamage
18,Good,London planetree,NoDamage
2,Good,London planetree,NoDamage
29,Fair,American elm,NoDamage
11,Fair,London planetree,Damage
23,Good,London planetree,Damage
12,Good,London planetree,NoDamage
27,Good,London planetree,NoDamage
2,Good,London planetree,NoDamage
14,Good,London planetree,Damage
2,Good,London planetree,NoDamage
9,Good,London planetree,NoDamage
29,Good,London planetree,NoDamage
20,Fair,London planetree,Damage
5,Fair,London planetree,NoDamage
29,Good,London planetree,NoDamage
13,Good,London planetree,NoDamage
14,Good,ash,NoDamage
6,Good,London planetree,Damage
3,Good,London planetree,NoDamage
36,Good,London planetree,NoDamage
3,Good,London planetree,NoDamage
13,Good,Amur maple,Damage
5,Good,willow oak,NoDamage
6,Fair,Amur maple,Damage
5,Fair,American elm,NoDamage
8,Good,hedge maple,NoDamage
22,Good,pin oak,NoDamage
17,Fair,pin oak,Damage
10,Good,red maple,Damage
7,Good,pin oak,NoDamage
1,Good,red maple,NoDamage
20,Fair,pin oak,NoDamage
13,Good,pin oak,Damage
5,Good,pin oak,NoDamage
2,Good,pin oak,NoDamage
20,Good,pin oak,NoDamage
27,Fair,pin oak,Damage
7,Good,honeylocust,NoDamage
2,Fair,honeylocust,NoDamage
4,Good,ginkgo,NoDamage
7,Good,honeylocust,NoDamage
4,Good,ginkgo,NoDamage
4,Fair,honeylocust,Damage
3,Poor,honeylocust,NoDamage
17,Good,honeylocust,Damage
8,Good,ginkgo,NoDamage
11,Good,honeylocust,Damage
6,Good,ginkgo,Damage
11,Good,honeylocust,NoDamage
10,Good,honeylocust,NoDamage
32,Good,pin oak,NoDamage
4,Good,hedge maple,NoDamage
4,Good,pin oak,NoDamage
29,Good,pin oak,Damage
17,Fair,pin oak,NoDamage
13,Good,pin oak,NoDamage
4,Good,pin oak,NoDamage
21,Good,pin oak,NoDamage
3,Fair,pin oak,Damage
20,Good,red maple,NoDamage
11,Good,ginkgo,NoDamage
3,Poor,honeylocust,Damage
13,Good,honeylocust,NoDamage
11,Good,honeylocust,Damage
3,Good,American linden,Damage
10,Good,honeylocust,NoDamage
14,Good,honeylocust,NoDamage
15,Good,honeylocust,Damage
13,Good,honeylocust,NoDamage
10,Good,honeylocust,NoDamage
8,Fair,honeylocust,Damage
22,Fair,ginkgo,Damage
3,Good,ginkgo,NoDamage
16,Fair,honeylocust,NoDamage
20,Fair,honeylocust,Damage
7,Fair,ginkgo,Damage
4,Good,ginkgo,NoDamage
3,Fair,honeylocust,NoDamage
7,Poor,ginkgo,Damage
20,Good,ginkgo,Damage
19,Good,ginkgo,NoDamage
13,Good,honeylocust,Damage
7,Good,honeylocust,NoDamage
17,Good,American linden,Damage
15,Good,American linden,Damage
4,Good,honeylocust,NoDamage
10,Good,honeylocust,Damage
10,Fair,ginkgo,NoDamage
6,Good,ginkgo,NoDamage
13,Fair,red maple,Damage
37,Good,pin oak,NoDamage
9,Good,pin oak,NoDamage
24,Fair,ginkgo,Damage
3,Good,honeylocust,NoDamage
11,Good,honeylocust,Damage
10,Good,honeylocust,NoDamage
13,Good,honeylocust,NoDamage
10,Good,honeylocust,NoDamage
14,Good,honeylocust,NoDamage
14,Good,American linden,Damage
17,Good,ginkgo,Damage
5,Good,American linden,NoDamage
3,Good,honeylocust,NoDamage
7,Good,honeylocust,Damage
8,Good,honeylocust,NoDamage
14,Good,honeylocust,NoDamage
24,Good,ginkgo,Damage
4,Good,crab apple,NoDamage
3,Good,honeylocust,Damage
8,Good,American linden,NoDamage
4,Good,honeylocust,NoDamage
2,Good,honeylocust,Damage
20,Good,honeylocust,Damage
13,Good,honeylocust,NoDamage
7,Good,honeylocust,NoDamage
30,Good,London planetree,NoDamage
16,Good,honeylocust,NoDamage
2,Good,American linden,Damage
4,Good,crab apple,NoDamage
4,Good,honeylocust,Damage
4,Good,honeylocust,Damage
4,Good,honeylocust,NoDamage
13,Good,honeylocust,NoDamage
14,Good,honeylocust,NoDamage
9,Good,honeylocust,NoDamage
18,Good,ginkgo,Damage
10,Good,ginkgo,NoDamage
3,Good,ginkgo,NoDamage
17,Good,ginkgo,NoDamage
14,Good,honeylocust,NoDamage
11,Good,ginkgo,Damage
11,Good,honeylocust,Damage
4,Good,ginkgo,NoDamage
19,Good,ginkgo,NoDamage
11,Good,honeylocust,Damage
11,Fair,honeylocust,NoDamage
2,Fair,honeylocust,NoDamage
9,Good,honeylocust,NoDamage
2,Fair,honeylocust,NoDamage
4,Good,honeylocust,NoDamage
3,Fair,honeylocust,NoDamage
10,Good,honeylocust,NoDamage
12,Good,honeylocust,NoDamage
10,Good,American linden,NoDamage
3,Good,American linden,NoDamage
4,Fair,honeylocust,NoDamage
8,Good,ginkgo,NoDamage
10,Good,ginkgo,NoDamage
6,Good,honeylocust,NoDamage
8,Good,honeylocust,Damage
14,Good,honeylocust,NoDamage
13,Good,honeylocust,Damage
11,Good,honeylocust,NoDamage
12,Good,honeylocust,Damage
12,Good,honeylocust,NoDamage
6,Good,ginkgo,Damage
8,Fair,honeylocust,Damage
6,Good,ginkgo,Damage
6,Good,honeylocust,NoDamage
2,Good,honeylocust,NoDamage
13,Good,honeylocust,NoDamage
13,Good,American linden,Damage
9,Poor,ginkgo,Damage
17,Good,honeylocust,Damage
7,Good,honeylocust,NoDamage
8,Good,ginkgo,NoDamage
2,Good,honeylocust,NoDamage
4,Good,ginkgo,NoDamage
15,Good,honeylocust,NoDamage
12,Good,ginkgo,Damage
9,Good,honeylocust,NoDamage
10,Good,ginkgo,NoDamage
11,Good,honeylocust,NoDamage
11,Good,American linden,Damage
7,Good,ginkgo,NoDamage
2,Poor,American linden,NoDamage
2,Poor,American linden,NoDamage
3,Good,honeylocust,NoDamage
10,Good,honeylocust,NoDamage
14,Good,American linden,Damage
3,Fair,London planetree,NoDamage
2,Good,American elm,NoDamage
22,Fair,London planetree,Damage
27,Good,London planetree,NoDamage
25,Good,London planetree,Damage
10,Fair,Amur maple,Damage
3,Poor,American elm,NoDamage
37,Good,London planetree,Damage
17,Good,London planetree,NoDamage
13,Good,London planetree,NoDamage
14,Fair,London planetree,NoDamage
25,Good,London planetree,Damage
12,Good,London planetree,NoDamage
8,Fair,American elm,Damage
17,Fair,London planetree,NoDamage
5,Good,London planetree,NoDamage
18,Good,London planetree,Damage
29,Good,London planetree,NoDamage
17,Good,willow oak,Damage
18,Good,silver maple,Damage
9,Good,silver maple,NoDamage
16,Good,silver maple,NoDamage
39,Fair,silver maple,Damage
5,Fair,Turkish hazelnut,NoDamage
25,Good,silver maple,NoDamage
32,Fair,silver maple,NoDamage
35,Good,silver maple,Damage
3,Good,black cherry,NoDamage
24,Good,silver maple,Damage
19,Good,silver maple,Damage
16,Good,silver maple,Damage
6,Good,eastern redcedar,NoDamage
39,Good,silver maple,NoDamage
3,Good,eastern redcedar,NoDamage
4,Good,black cherry,NoDamage
20,Good,silver maple,Damage
8,Good,silver maple,NoDamage
6,Good,silver maple,NoDamage
17,Good,honeylocust,Damage
8,Good,honeylocust,NoDamage
15,Good,honeylocust,NoDamage
3,Fair,honeylocust,Damage
4,Good,honeylocust,Damage
9,Good,ginkgo,NoDamage
5,Good,American linden,NoDamage
31,Good,ginkgo,Damage
3,Good,ginkgo,NoDamage
8,Poor,ginkgo,Damage
6,Poor,ginkgo,Damage
4,Fair,Norway maple,NoDamage
3,Good,tulip-poplar,NoDamage
18,Good,Norway maple,NoDamage
32,Good,tulip-poplar,NoDamage
12,Poor,Norway maple,Damage
21,Good,Norway maple,NoDamage
10,Good,Norway maple,NoDamage
18,Good,Norway maple,NoDamage
14,Good,Norway maple,Damage
4,Poor,Norway maple,NoDamage
11,Good,Norway maple,NoDamage
3,Good,Norway maple,NoDamage
8,Good,sawtooth oak,NoDamage
9,Good,Norway maple,NoDamage
26,Good,Norway maple,NoDamage
12,Poor,Norway maple,Damage
4,Fair,honeylocust,NoDamage
10,Good,ginkgo,NoDamage
4,Good,honeylocust,NoDamage
10,Good,ginkgo,NoDamage
7,Good,honeylocust,Damage
14,Good,ginkgo,NoDamage
4,Good,honeylocust,NoDamage
4,Good,honeylocust,Damage
16,Good,honeylocust,NoDamage
4,Good,honeylocust,Damage
2,Good,ginkgo,Damage
6,Good,honeylocust,NoDamage
2,Good,honeylocust,Damage
30,Good,London planetree,NoDamage
20,Good,London planetree,Damage
16,Fair,London planetree,Damage
8,Fair,Norway maple,NoDamage
6,Fair,tulip-poplar,NoDamage
15,Fair,Norway maple,Damage
12,Fair,Norway maple,Damage
18,Good,Norway maple,NoDamage
6,Poor,Norway maple,Damage
22,Good,Norway maple,Damage
12,Good,Norway maple,NoDamage
17,Good,Norway maple,NoDamage
3,Good,Norway maple,NoDamage
27,Good,London planetree,Damage
31,Good,London planetree,Damage
19,Fair,London planetree,Damage
5,Good,swamp white oak,NoDamage
4,Good,London planetree,NoDamage
19,Fair,London planetree,Damage
5,Good,willow oak,NoDamage
14,Good,London planetree,NoDamage
16,Fair,London planetree,Damage
6,Good,American elm,NoDamage
10,Poor,London planetree,NoDamage
20,Good,London planetree,NoDamage
26,Good,London planetree,NoDamage
2,Good,Sophora,NoDamage
4,Good,honeylocust,NoDamage
2,Good,swamp white oak,NoDamage
4,Good,swamp white oak,NoDamage
4,Fair,swamp white oak,NoDamage
4,Good,Chinese fringetree,NoDamage
3,Good,swamp white oak,NoDamage
4,Good,swamp white oak,Damage
3,Good,swamp white oak,NoDamage
8,Good,southern magnolia,Damage
4,Good,swamp white oak,NoDamage
2,Good,swamp white oak,NoDamage
2,Fair,swamp white oak,NoDamage
3,Good,honeylocust,NoDamage
3,Fair,Sophora,NoDamage
4,Good,Sophora,Damage
4,Fair,sweetgum,NoDamage
4,Fair,sweetgum,Damage
11,Good,Sophora,NoDamage
4,Good,Sophora,NoDamage
10,Good,Sophora,Damage
1,Poor,Sophora,NoDamage
13,Fair,Sophora,Damage
18,Good,Sophora,Damage
5,Good,Sophora,NoDamage
12,Fair,Sophora,NoDamage
